"Group","Group Index","Discriminant","Name","Type","Default","Description"
"Prunt","null","null","Enabled","Boolean","False","If set, allow Prunt to start."
"Stepper","Stepper","null","Enabled","Boolean","False","If set, enable outputs to the stepper and allows it to be used for motion. A stepper that is not enabled will never output any signals. On some boards the outputs may be high impedance in this state."
,,,"Invert_Direction","Boolean","False","If set, invert the direction signal output."
,,,"Enabled_On_High","Boolean","False","If set, set the enable pin to high to enable the stepper."
,,,"Fault_On_High","Boolean","False","If set, high reading on fault pin indicates that the stepper is in fault state."
,,,"Mm_Per_Step","Length","Length’Last / 2.0","The distance moved by the stepper for each transition of the step signal. Note that this is the distance for each transition, not the distance for each complete cycle. For stepper drivers that only step on either the rising or falling edge, take the average value for each transition (mm per cycle / 2). Note that Prunt will always output steps in groups of two in the default configuration, so direction signals will always be output on the same step signal state."
,,,"Direction_Setup_Time","Time","0.0 * s","Time between any direction transition and any step transition on this stepper."
,,,"Step_Time","Time","0.0 * s","Time between any step transitions on this stepper. These limits will be enforced even if the commanded feedrate is faster, resulting in a discontinuity in acceleration if the limits are reached. The limits are also enforced if the step generator needs to catch up in case the step generation task is interrupted or is overloaded."
"Kinematics","null","null","Lower_Pos_Limit","Position","[E_Axis => Length'First / 2.0, others => 0.0 * mm]","Minimum position that the printer may move to. The E axis may be set to “ & Image(Physical_Types.Length'First / 2.0) & “ for effectively infinite range."
,,,"Upper_Pos_Limit","Position","[E_Axis => Length'Last / 2.0, others => 0.0 * mm]","Maximum position that the printer may move to. The E axis may be set to “ & Image(Physical_Types.Length'Last / 2.0) & “ for effectively infinite range."
,,,"Max_Limits","Motion_Planner.Kinematic_Limits","(Tangential_Velocity_Max => 0.0 * mm / s, Acceleration_Max => 0.0 * mm / s**2, Jerk_Max => 0.0 * mm / s**3, Snap_Max => 0.0 * mm / s**4, Crackle_Max => 0.0 * mm / s**5, Chord_Error_Max => 0.0 * mm)","Maximum motion profile limits. Any limits set higher than these by g-code will be clipped."
,,,"Starting_Limits","Motion_Planner.Kinematic_Limits","(Tangential_Velocity_Max => 0.0 * mm / s, Acceleration_Max => 0.0 * mm / s**2, Jerk_Max => 0.0 * mm / s**3, Snap_Max => 0.0 * mm / s**4, Crackle_Max => 0.0 * mm / s**5, Chord_Error_Max => 0.0 * mm)","Starting motion profile limits before any limits are set by g-code."
,,,"Planning_Scaler","Position_Scale","[others => 1.0]","Inside the motion planner, all positions are multiples by this value before applying motion profile limits, allowing for different limits on different axes. You do not need to take this value in to account when setting position limits or mm per step values."
,,,"Minimum_Cruise_Ratio","Cruise_Ratio","Cruise_Ratio’First","Minimum ratio of time in a move that must be spent at zero acceleration."
,,,"Z_Steppers","Attached_Steppers","[others => False]","Steppers attached to the Z axis."
,,,"E_Steppers","Attached_Steppers","[others => False]","Steppers attached to the E axis."
,,"Cartesian","X_Steppers","Attached_Steppers","[others => False]","Steppers attached to the X axis."
,,,"Y_Steppers","Attached_Steppers","[others => False]","Steppers attached to the Y axis."
,,"Core_XY","A_Steppers","Attached_Steppers","[others => False]","Steppers attached to the A axis. X axis = 0.5 * (A + B), Y axis = 0.5 * (A – B)."
,,,"B_Steppers","Attached_Steppers","[others => False]","Steppers attached to the B axis. X axis = 0.5 * (A + B), Y axis = 0.5 * (A – B)."
"Input_Switch","Input_Switch","null","Enabled","Boolean","False","If set, marks the switch as enabled so it may be used for homing."
